ZONE,HOUR,avg_ratio,pct_hours_saturated,n_days
Independencia,9,0.5759559884559884,0.0,30
San Pedro,2,0.5722222222222223,0.0,30
Santiago,9,0.569047619047619,0.0,30
Escobedo,9,0.5655988455988455,0.0,30
Centro,6,0.5611111111111111,0.0,30
Centro,4,0.5583333333333333,0.0,30
Cumbres Poniente,3,0.55,0.0,30
Cumbres Poniente,4,0.55,0.0,30
Cumbres Poniente,6,0.55,0.0,30
Centro,5,0.5333333333333333,0.0,30
Cumbres Poniente,1,0.5333333333333333,0.0,30
Cumbres Poniente,2,0.5333333333333333,0.0,30
Escobedo,5,0.5333333333333333,0.0,30
Mitras Centro,4,0.5166666666666667,0.0,30
MTY_Guadalupe,2,0.5111111111111112,0.0,30
Mitras Centro,2,0.5055555555555555,0.0,30
San Pedro,5,0.5055555555555555,0.0,30
MTY_Guadalupe,6,0.49444444444444446,0.0,30
Mitras Centro,3,0.49444444444444446,0.0,30
MTY_Guadalupe,1,0.48333333333333334,0.0,30
MTY_Guadalupe,5,0.48333333333333334,0.0,30
Mitras Centro,5,0.48333333333333334,0.0,30
San Pedro,1,0.48333333333333334,0.0,30
MTY_Guadalupe,3,0.4777777777777778,0.0,30
MTY_Guadalupe,4,0.4777777777777778,0.0,30
Mitras Centro,1,0.4777777777777778,0.0,30
Mitras Centro,6,0.4722222222222222,0.0,30
San Nicolás,6,0.4722222222222222,0.0,30
Escobedo,3,0.4666666666666667,0.0,30
San Nicolás,3,0.4666666666666667,0.0,30
San Nicolás,4,0.4666666666666667,0.0,30
San Pedro,4,0.4611111111111111,0.0,30
San Nicolás,1,0.45555555555555555,0.0,30
San Nicolás,2,0.4388888888888889,0.0,30
San Nicolás,5,0.4388888888888889,0.0,30
San Pedro,6,0.4388888888888889,0.0,30
San Pedro,3,0.4222222222222222,0.0,30
Santa Catarina,23,0.2922222222222222,0.0,30
Santa Catarina,0,0.2694444444444445,0.0,30
Centro,23,0.26201058201058197,0.0,30
Independencia,0,0.25666666666666665,0.0,30
Independencia,23,0.24555555555555558,0.0,30
Centro,0,0.2453968253968254,0.0,30
Apodaca Centro,23,0.245,0.0,30
Apodaca Centro,0,0.24333333333333332,0.0,30
Cumbres Poniente,23,0.23444444444444443,0.0,30
Cumbres Poniente,0,0.23055555555555557,0.0,30
La Fe,23,0.21944444444444444,0.0,30
Escobedo,23,0.21666666666666667,0.0,30
Escobedo,0,0.21388888888888888,0.0,30
Mitras Centro,23,0.20944444444444443,0.0,30
San Pedro,23,0.20865079365079364,0.0,30
MTY_Guadalupe,23,0.2061111111111111,0.0,30
MTY_Guadalupe,0,0.19722222222222224,0.0,30
Mitras Centro,0,0.19499999999999998,0.0,30
San Pedro,0,0.19103174603174602,0.0,30
San Nicolás,0,0.18261904761904763,0.0,30
San Nicolás,23,0.18055555555555555,0.0,30
Santa Catarina,7,0.17134920634920636,0.0,30
Independencia,7,0.1571031746031746,0.0,30
La Fe,0,0.15555555555555553,0.0,30
Apodaca Centro,7,0.1489285714285714,0.0,30
Cumbres Poniente,7,0.14457671957671955,0.0,30
Centro,7,0.14331797831797832,0.0,30
La Fe,7,0.13507936507936508,0.0,30
Mitras Centro,7,0.12818783068783068,0.0,30
San Pedro,7,0.1274242424242424,0.0,30
MTY_Guadalupe,7,0.1258201058201058,0.0,30
Escobedo,7,0.1184126984126984,0.0,30
San Nicolás,7,0.11495069745069746,0.0,30
Carretera Nacional,0,0.0,0.0,30
Carretera Nacional,1,0.0,0.0,30
Carretera Nacional,2,0.0,0.0,30
Carretera Nacional,3,0.0,0.0,30
Carretera Nacional,4,0.0,0.0,30
Carretera Nacional,5,0.0,0.0,30
Carretera Nacional,6,0.0,0.0,30
Carretera Nacional,7,0.0,0.0,30
Carretera Nacional,23,0.0,0.0,30
MTY_Apodaca_Huinalá,0,0.0,0.0,30
MTY_Apodaca_Huinalá,1,0.0,0.0,30
MTY_Apodaca_Huinalá,2,0.0,0.0,30
MTY_Apodaca_Huinalá,3,0.0,0.0,30
MTY_Apodaca_Huinalá,4,0.0,0.0,30
MTY_Apodaca_Huinalá,5,0.0,0.0,30
MTY_Apodaca_Huinalá,6,0.0,0.0,30
MTY_Apodaca_Huinalá,7,0.0,0.0,30
MTY_Apodaca_Huinalá,23,0.0,0.0,30
Santiago,0,0.0,0.0,30
Santiago,1,0.0,0.0,30
Santiago,2,0.0,0.0,30
Santiago,3,0.0,0.0,30
Santiago,4,0.0,0.0,30
Santiago,5,0.0,0.0,30
Santiago,6,0.0,0.0,30
Santiago,7,0.0,0.0,30
Santiago,23,0.0,0.0,30
